Wall time,Step,Value
1686378230.901485,5555,8.017000198364258
1686378715.1029868,11111,6.5269999504089355
1686379202.5165875,16667,6.2789998054504395
1686379684.8715036,22222,6.163000106811523
1686380167.3819046,27778,6.091000080108643
