Wall time,Step,Value
1686507877.4009414,100,15.034000396728516
1686507890.3969991,200,14.02299976348877
1686507903.5537992,300,13.732000350952148
1686507917.179926,400,13.647000312805176
1686507930.9186528,500,13.579999923706055
1686507945.42443,600,13.46399974822998
1686507958.1470845,700,13.300000190734863
1686507971.5880742,800,13.123000144958496
1686507984.8791158,900,12.930999755859375
1686507998.1257508,1000,12.765000343322754
1686508011.535697,1100,12.607999801635742
1686508025.0552924,1200,12.536999702453613
1686508038.3988948,1300,12.357999801635742
1686508051.5481277,1400,12.218999862670898
1686508065.0399845,1500,12.090999603271484
1686508078.561663,1600,11.934000015258789
1686508091.8346229,1700,11.873000144958496
1686508104.6539912,1800,11.777000427246094
1686508118.31133,1900,11.70199966430664
1686508131.2101233,2000,11.550999641418457
1686508145.9259493,2100,11.526000022888184
1686508159.978442,2200,11.425999641418457
1686508173.1881862,2300,11.312000274658203
1686508186.9356723,2400,11.25100040435791
1686508200.3930838,2500,11.152999877929688
1686508213.6454175,2600,11.102999687194824
1686508226.6433074,2700,11.02299976348877
1686508240.021933,2800,10.92300033569336
1686508253.5297363,2900,10.902000427246094
1686508267.1946511,3000,10.774999618530273
1686508280.7383296,3100,10.781000137329102
1686508293.8205578,3200,10.699999809265137
1686508307.7529318,3300,10.701000213623047
1686508322.1697493,3400,10.64900016784668
1686508335.5799308,3500,10.543000221252441
1686508350.4072251,3600,10.479999542236328
1686508364.5249221,3700,10.496999740600586
1686508377.8392806,3800,10.427000045776367
1686508391.2436182,3900,10.345999717712402
1686508405.3027248,4000,10.380999565124512
1686508418.1995082,4100,10.315999984741211
1686508432.4570642,4200,10.395999908447266
1686508446.3230567,4300,10.23900032043457
1686508460.1534295,4400,10.161999702453613
1686508474.0753272,4500,10.163999557495117
1686508487.3603044,4600,10.142999649047852
1686508501.0066426,4700,10.029999732971191
1686508514.0788395,4800,10.050000190734863
1686508527.037942,4900,9.977999687194824
1686508540.7347798,5000,9.991000175476074
1686508555.3298256,5100,9.972000122070312
1686508568.8795445,5200,9.940999984741211
1686508582.6578994,5300,9.892999649047852
1686508595.3584514,5400,9.902000427246094
1686508608.9072955,5500,9.928000450134277
1686508622.7495441,5600,9.88599967956543
1686508636.6127064,5700,9.890000343322754
1686508650.730413,5800,9.798999786376953
1686508664.4097111,5900,9.77400016784668
1686508677.9793446,6000,9.72599983215332
1686508691.0061483,6100,9.696999549865723
1686508704.5464613,6200,9.71500015258789
1686508747.972633,6300,9.744999885559082
1686508764.6641822,6400,9.553999900817871
1686508778.262177,6500,9.59000015258789
1686508791.8338723,6600,9.592000007629395
1686508805.1701715,6700,9.611000061035156
1686508817.8505044,6800,9.5600004196167
1686508831.6141865,6900,9.579999923706055
1686508845.1674922,7000,9.543000221252441
1686508858.841768,7100,9.567000389099121
1686508872.7339168,7200,9.524999618530273
1686508886.6296868,7300,9.553000450134277
1686508900.2365246,7400,9.49899959564209
1686508913.3928306,7500,9.467000007629395
1686508927.2185178,7600,9.484999656677246
1686508941.3388934,7700,9.477999687194824
1686508956.3816373,7800,9.425999641418457
1686508970.159747,7900,9.45199966430664
1686508983.804421,8000,9.468000411987305
1686508997.2746193,8100,9.40999984741211
1686509010.8046107,8200,9.420999526977539
1686509024.613822,8300,9.449999809265137
1686509038.2170677,8400,9.343999862670898
1686509051.8292925,8500,9.347999572753906
1686509065.601552,8600,9.355999946594238
1686509078.91747,8700,9.357000350952148
1686509092.438761,8800,9.380999565124512
1686509106.7572734,8900,9.361000061035156
1686509120.367687,9000,9.324999809265137
1686509134.3497982,9100,9.303000450134277
1686509149.6350057,9200,9.321000099182129
1686509163.1173282,9300,9.289999961853027
1686509175.551538,9400,9.29800033569336
1686509189.0211568,9500,9.244999885559082
1686509202.5958974,9600,9.265999794006348
1686509216.9166574,9700,9.255999565124512
1686509230.5913785,9800,9.256999969482422
1686509244.4616873,9900,9.23900032043457
1686509257.982968,10000,9.230999946594238
1686509271.1177437,10100,9.201000213623047
1686509284.151783,10200,9.237000465393066
1686509297.9781122,10300,9.133000373840332
1686509311.7191882,10400,9.21500015258789
1686509325.5872822,10500,9.26099967956543
1686509340.052858,10600,9.239999771118164
1686509353.9385974,10700,9.211000442504883
1686509367.7174947,10800,9.1899995803833
1686509380.9481323,10900,9.119000434875488
1686509394.388957,11000,9.128999710083008
1686509408.1068957,11100,9.111000061035156
1686509421.8430576,11200,9.121999740600586
1686509434.7832932,11300,9.128999710083008
1686509448.0248814,11400,9.104000091552734
1686509461.1236815,11500,9.057000160217285
1686509475.0272453,11600,9.109000205993652
1686509488.3828416,11700,9.116000175476074
1686509501.1076605,11800,9.060999870300293
1686509515.249753,11900,9.111000061035156
1686509528.653728,12000,9.059000015258789
1686509544.1059666,12100,9.12399959564209
1686509557.9628544,12200,9.062999725341797
1686509571.7706234,12300,9.08899974822998
1686509585.8866992,12400,9.052000045776367
1686509598.3706448,12500,9.003999710083008
1686509642.0353625,12600,9.027999877929688
1686509657.246909,12700,8.979000091552734
1686509672.113075,12800,9.019000053405762
1686509685.9955618,12900,9.036999702453613
1686509699.7035887,13000,8.972999572753906
1686509713.2855647,13100,8.968999862670898
1686509727.3328633,13200,8.947999954223633
1686509741.5662904,13300,9.024999618530273
1686509755.407277,13400,8.979999542236328
1686509769.484995,13500,9.01200008392334
1686509783.1958342,13600,8.904999732971191
1686509796.5733836,13700,8.956999778747559
1686509809.751272,13800,8.956000328063965
1686509823.2527623,13900,9.008000373840332
1686509837.3094876,14000,8.916999816894531
1686509851.274227,14100,8.932000160217285
1686509864.5428011,14200,8.881999969482422
1686509878.4440153,14300,8.916000366210938
1686509892.0262687,14400,8.942999839782715
1686509905.2162,14500,8.918999671936035
1686509918.6734118,14600,8.939000129699707
1686509933.2876432,14700,8.869000434875488
1686509947.720071,14800,8.914999961853027
